web-scraper-order,web-scraper-start-url,single,single-href,title,price,number of reviews,rating,description,product description,ASIN,manufacturer
"1688575758-1","https://www.amazon.in/s?k=bags&page=20&crid=2M096C61O4MLT&qid=1688573592&sprefix=ba%2Caps%2C283&ref=sr_pg_2","Li-Ning All Star Single Zip Badminton Polyester Kit Bag (Royal Blue)","https://www.amazon.in/Li-Ning-Single-Badminton-Polyester-Royal/dp/B09VDRLTJJ/ref=sr_1_308?crid=2M096C61O4MLT&keywords=bags&qid=1688575752&sprefix=ba%2Caps%2C283&sr=8-308","","","","₹3,788.00","","The Li-Ning All-Star Kitbag is made for those who dare to push the limits. With its large main compartment, it is ideal for all your on-the-go needs. Additional zipped compartments and holders let you secure your stuff while you set the court on fire.","",""
"1688575764-2","https://www.amazon.in/s?k=bags&page=20&crid=2M096C61O4MLT&qid=1688573592&sprefix=ba%2Caps%2C283&ref=sr_pg_2","SCUFFLE Thunder 45 L Unisex Waterproof Laptop Backpack Travel Hiking Fits Upto 17.3 inch with Raincover and Backpack Rucksack College Bag","https://www.amazon.in/SCUFFLE-Thunder-Backpack-upto17-3inch-Raincover/dp/B0BXLV3GNP/ref=sr_1_307?crid=2M096C61O4MLT&keywords=bags&qid=1688575752&sprefix=ba%2Caps%2C283&sr=8-307","","","","₹3,140.00","Product Dimensions
                                    ‏
                                        :
                                    ‎
                                 36.8 x 22.9 x 50.8 cm; 0.5 Grams            Date First Available
                                    ‏
                                        :
                                    ‎
                                 6 March 2023                                    Manufacturer
                                    ‏
                                        :
                                    ‎
                                 SCUFFLE                         ASIN
                                    ‏
                                        :
                                    ‎
                                 B0BXLV3GNP            Item model number
                                    ‏
                                        :
                                    ‎
                                 Thunder            Country of Origin
                                    ‏
                                        :
                                    ‎
                                 India            Department
                                    ‏
                                        :
                                    ‎
                                 unisex-adult            Manufacturer
                                    ‏
                                        :
                                    ‎
                                 SCUFFLE, SCUFFLE            Packer
                                    ‏
                                        :
                                    ‎
                                 SCUFFLE            Importer
                                    ‏
                                        :
                                    ‎
                                 SCUFFLE            Item Weight
                                    ‏
                                        :
                                    ‎
                                 0.5 g            Item Dimensions LxWxH
                                    ‏
                                        :
                                    ‎
                                 36.8 x 22.9 x 50.8 Centimeters            Net Quantity
                                    ‏
                                        :
                                    ‎
                                 1.00 count            Generic Name
                                    ‏
                                        :
                                    ‎
                                 Backpack","The SCUFFLE backpack ensures complete safety to your laptops and other products with high quality build and wide range of built-in features, With Dual Side Pocket In the in side of the bag, featuring a protective padding, you can rest assured that the laptop inside it will be well cushioned from any accidental caused when you bump into any surface. As it is made of nylon, can withstand abrasions and is long lasting. It also features highly useful for motorists, cyclists, walking, The inner material is made of polyster. This backpack is also water-resistant.","ASIN
                                    ‏
                                        :
                                    ‎
                                 B0BXLV3GNP","›"
"1688575772-3","https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1688573592&sprefix=ba%2Caps%2C283&ref=sr_pg_2","ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Teal)","https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPVD964/ref=sr_1_308?crid=2M096C61O4MLT&keywords=bags&qid=1688575767&sprefix=ba%2Caps%2C283&sr=8-308","","","","₹1,497.00","Product Dimensions
                                    ‏
                                        :
                                    ‎
                                 32 x 20 x 47 cm; 530 Grams            Date First Available
                                    ‏
                                        :
                                    ‎
                                 1 March 2022                                    Manufacturer
                                    ‏
                                        :
                                    ‎
                                 ADISA            ASIN
                                    ‏
                                        :
                                    ‎
                                 B09TPVD964            Item model number
                                    ‏
                                        :
                                    ‎
                                 BP041            Country of Origin
                                    ‏
                                        :
                                    ‎
                                 India            Department
                                    ‏
                                        :
                                    ‎
                                 Men            Manufacturer
                                    ‏
                                        :
                                    ‎
                                 ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com            Packer
                                    ‏
                                        :
                                    ‎
                                 ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com            Item Weight
                                    ‏
                                        :
                                    ‎
                                 530 g            Item Dimensions LxWxH
                                    ‏
                                        :
                                    ‎
                                 32 x 20 x 47 Centimeters            Net Quantity
                                    ‏
                                        :
                                    ‎
                                 1.00 count            Included Components
                                    ‏
                                        :
                                    ‎
                                 Laptop backpack only            Generic Name
                                    ‏
                                        :
                                    ‎
                                 Laptop backpack","","ASIN
                                    ‏
                                        :
                                    ‎
                                 B09TPVD964","›"
"1688575777-4","https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1688573592&sprefix=ba%2Caps%2C283&ref=sr_pg_2","Skybags Unisex Printed School Backpack For Kids, 01 Black (Disney Mickey)","https://www.amazon.in/Skybags-Unisex-Printed-School-Backpack/dp/B0C5WYR54R/ref=sr_1_307?crid=2M096C61O4MLT&keywords=bags&qid=1688575767&sprefix=ba%2Caps%2C283&sr=8-307","","","","₹2,897.40","Product Dimensions
                                    ‏
                                        :
                                    ‎
                                 18 x 30 x 48 cm; 400 Grams            Date First Available
                                    ‏
                                        :
                                    ‎
                                 22 May 2023                                                 ASIN
                                    ‏
                                        :
                                    ‎
                                 B0C5WYR54R            Item model number
                                    ‏
                                        :
                                    ‎
                                 BPDIM1HBLK            Country of Origin
                                    ‏
                                        :
                                    ‎
                                 India            Department
                                    ‏
                                        :
                                    ‎
                                 Unisex Child            Item Weight
                                    ‏
                                        :
                                    ‎
                                 400 g            Item Dimensions LxWxH
                                    ‏
                                        :
                                    ‎
                                 18 x 30 x 48 Centimeters","For the busy-bee new age student toggling between the many worlds of school, tutions, dance, skating, tennis or Karate practise the SKYBAG range of stylish and functional backpacks caters to the entire spectrum of the students demanding schedule","Item model number
                                    ‏
                                        :
                                    ‎
                                 BPDIM1HBLK","Item Dimensions LxWxH
                                    ‏
                                        :
                                    ‎
                                 18 x 30 x 48 Centimeters"
"1688575782-5","https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1688573592&sprefix=ba%2Caps%2C283&ref=sr_pg_2","TRAVEL POINT 50L Waterproof Travel Backpack for Hiking Trekking Camping Rucksack with Shoe Compartment Tourist Mountain Climbing Bag for Men and Women (BINTOP 50L) 1 Year Warranty","https://www.amazon.in/TRAVEL-POINT-Partner-Trekking-Rucksack/dp/B09V82H6FD/ref=sr_1_306?crid=2M096C61O4MLT&keywords=bags&qid=1688575767&sprefix=ba%2Caps%2C283&sr=8-306","","","","₹1,404.00","Product Dimensions
                                    ‏
                                        :
                                    ‎
                                 36 x 25 x 66 cm; 200 Grams            Date First Available
                                    ‏
                                        :
                                    ‎
                                 10 March 2022                                    Manufacturer
                                    ‏
                                        :
                                    ‎
                                 TRAVEL POINT                         ASIN
                                    ‏
                                        :
                                    ‎
                                 B09V82H6FD            Item model number
                                    ‏
                                        :
                                    ‎
                                 BINTOP-50L-TEAL-BLUE            Country of Origin
                                    ‏
                                        :
                                    ‎
                                 India            Department
                                    ‏
                                        :
                                    ‎
                                 unisex-adult            Manufacturer
                                    ‏
                                        :
                                    ‎
                                 TRAVEL POINT            Item Weight
                                    ‏
                                        :
                                    ‎
                                 200 g            Item Dimensions LxWxH
                                    ‏
                                        :
                                    ‎
                                 36 x 25 x 66 Centimeters            Net Quantity
                                    ‏
                                        :
                                    ‎
                                 1.00 count            Generic Name
                                    ‏
                                        :
                                    ‎
                                 TREKKING BAG","","ASIN
                                    ‏
                                        :
                                    ‎
                                 B09V82H6FD","Manufacturer
                                    ‏
                                        :
                                    ‎
                                 TRAVEL POINT"
"1688575787-6","https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1688573592&sprefix=ba%2Caps%2C283&ref=sr_pg_2","Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Navy Blue)","https://www.amazon.in/Martucci-Unisex-Waterproof-Laptop-Backpack/dp/B088B3ZVW2/ref=sr_1_305?crid=2M096C61O4MLT&keywords=bags&qid=1688575767&sprefix=ba%2Caps%2C283&sr=8-305","","","","₹994.00","Product Dimensions
                                    ‏
                                        :
                                    ‎
                                 13 x 7 x 20 cm; 350 Grams            Date First Available
                                    ‏
                                        :
                                    ‎
                                 7 May 2020                                    Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Martucci            ASIN
                                    ‏
                                        :
                                    ‎
                                 B088B3ZVW2            Item part number
                                    ‏
                                        :
                                    ‎
                                 30L-Advntr-Navy Blue            Country of Origin
                                    ‏
                                        :
                                    ‎
                                 India            Department
                                    ‏
                                        :
                                    ‎
                                 unisex-adult            Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Martucci            Item Weight
                                    ‏
                                        :
                                    ‎
                                 350 g            Item Dimensions LxWxH
                                    ‏
                                        :
                                    ‎
                                 13 x 7 x 20 Centimeters","","ASIN
                                    ‏
                                        :
                                    ‎
                                 B088B3ZVW2","›"
"1688575792-7","https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1688573592&sprefix=ba%2Caps%2C283&ref=sr_pg_2","Amazon Basics Laptop Backpack - 24L, Water Repellent and Wear Resistant, Melange Slub Grey","https://www.amazon.in/Amazon-Basics-Laptop-Backpack-Repellent/dp/B09W39H3F9/ref=sr_1_304?crid=2M096C61O4MLT&keywords=bags&qid=1688575767&sprefix=ba%2Caps%2C283&sr=8-304","","","","₹1,821.00","","","","›"
"1688575797-8","https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1688573592&sprefix=ba%2Caps%2C283&ref=sr_pg_2","HARISSONS Bags Volt 15.6 inch Office Laptop Backpacks for Men and Women 24 Ltrs with 2 Front Zippered Pockets & Spacious Large Compartments | External USB Gate for easy Charging","https://www.amazon.in/Harissons-Office-Laptop-Backpacks-Women/dp/B09D3YYYNG/ref=sr_1_303?crid=2M096C61O4MLT&keywords=bags&qid=1688575767&sprefix=ba%2Caps%2C283&sr=8-303","","","","₹1,834.00","Product Dimensions
                                    ‏
                                        :
                                    ‎
                                 32 x 17 x 44 cm; 590 Grams            Date First Available
                                    ‏
                                        :
                                    ‎
                                 19 August 2021                                                 ASIN
                                    ‏
                                        :
                                    ‎
                                 B09D3YYYNG            Item part number
                                    ‏
                                        :
                                    ‎
                                 HB1207BLACK            Country of Origin
                                    ‏
                                        :
                                    ‎
                                 India            Department
                                    ‏
                                        :
                                    ‎
                                 unisex-adult            Item Weight
                                    ‏
                                        :
                                    ‎
                                 590 g            Item Dimensions LxWxH
                                    ‏
                                        :
                                    ‎
                                 32 x 17 x 44 Centimeters","","Item part number
                                    ‏
                                        :
                                    ‎
                                 HB1207BLACK","›"
"1688575802-9","https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1688573592&sprefix=ba%2Caps%2C283&ref=sr_pg_2","30 L Waterproof Laptop/College/School/Office Bag Backpack for Men Women Boys Girls with Rain Cover (Navy_Blue)","https://www.amazon.in/Waterproof-Laptop-College-Backpack-Navy_Blue/dp/B0BW9GWPYH/ref=sr_1_302?crid=2M096C61O4MLT&keywords=bags&qid=1688575767&sprefix=ba%2Caps%2C283&sr=8-302","","","","₹2,197.00","Product Dimensions
                                    ‏
                                        :
                                    ‎
                                 42 x 32 x 17 cm            Date First Available
                                    ‏
                                        :
                                    ‎
                                 20 February 2023                                                 ASIN
                                    ‏
                                        :
                                    ‎
                                 B0BW9GWPYH            Item model number
                                    ‏
                                        :
                                    ‎
                                 AMERICAN            Country of Origin
                                    ‏
                                        :
                                    ‎
                                 India            Department
                                    ‏
                                        :
                                    ‎
                                 unisex-adult            Item Dimensions LxWxH
                                    ‏
                                        :
                                    ‎
                                 42 x 32 x 17 Centimeters","A sporty versatile Backpack from Northzone. It has a top opening compartment for quick & easy access to essentials while the mesh padding on the back panel will feel comfortable, even on a hot day. This backpack can be carried in 2 ways as it has an additional front handle to hold it in case you’re unable to carry it on your back.","Item model number
                                    ‏
                                        :
                                    ‎
                                 AMERICAN","›"
"1688575807-10","https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1688573592&sprefix=ba%2Caps%2C283&ref=sr_pg_2","Dyazo Water Resistant Laptop Sleeve with Handle Compatible for 15 Inch to 15.6"" Inches laptops & Notebooks - Grey","https://www.amazon.in/Dyazo-Resistant-Compatible-laptops-Notebooks/dp/B09BFV96TS/ref=sr_1_301?crid=2M096C61O4MLT&keywords=bags&qid=1688575767&sprefix=ba%2Caps%2C283&sr=8-301","","","","₹894.00","","","","›"
